epoch,loss,reconstruction,kl,seconds
1,190.51840209960938,184.78952026367188,5.728888511657715,3.6707821669988334
2,168.11541748046875,163.08934020996094,5.026014804840088,2.274517417012248
3,163.28318786621094,158.05853271484375,5.2247443199157715,2.518379208020633
4,160.15650939941406,154.7256317138672,5.4309539794921875,2.335739750007633
5,158.1103973388672,152.53164672851562,5.578717231750488,2.264102790999459
6,156.61572265625,150.91976928710938,5.695901870727539,2.2844392090046313
7,155.37864685058594,149.6018829345703,5.77659797668457,2.458484375005355
8,154.39434814453125,148.55348205566406,5.840912818908691,2.458113000000594
9,153.6117706298828,147.7165985107422,5.895237922668457,2.394820332992822
10,152.8800811767578,146.9365234375,5.943488597869873,2.3415023749985266
11,152.21888732910156,146.22705078125,5.991735458374023,2.3335230840020813
12,151.58206176757812,145.55711364746094,6.024888515472412,2.4096115410211496
13,151.0814208984375,145.03529357910156,6.046028137207031,2.5338440419873223
14,150.62843322753906,144.5443115234375,6.084147930145264,3.202724416012643
15,150.190673828125,144.07659912109375,6.114021301269531,3.126558832998853
